For point: 109, Error: 1.7557418170589774
For point: 111, Error: 1.3267333377296013
For point: 112, Error: 1.828600304164299
For point: 115, Error: 0.25429062785979384
For point: 119, Error: 0.9751873014369964
For point: 122, Error: 1.0900663734554092
For point: 125, Error: 0.2285020736836091
For point: 127, Error: 0.6557482111625889
For point: 132, Error: 1.0737642521635582
For point: 133, Error: 0.30533622502310553
For point: 134, Error: 0.31217137895218144
For point: 136, Error: 0.291409993408381
For point: 137, Error: 0.8621897669714548
For point: 138, Error: 0.1749041659059611
For point: 139, Error: 0.24378453070630884
For point: 142, Error: 0.14727384847275635
For point: 143, Error: 0.6638060122008483
For point: 144, Error: 0.6174744389782443
For point: 145, Error: 0.33489743319593934
For point: 148, Error: 0.6166650223745811
For point: 149, Error: 0.4393001623714088
For point: 150, Error: 0.20530823327839767
For point: 152, Error: 0.4385625181089969
For point: 153, Error: 0.11222884465350855
For point: 155, Error: 0.07308241503390552
For point: 156, Error: 0.3779100641393463
For point: 159, Error: 0.07915145041191249
For point: 162, Error: 0.016755376355732817
For point: 165, Error: 0.09212279546586935
For point: 170, Error: 0.21108496655711556
For point: 171, Error: 0.1794496268962227
For point: 174, Error: 0.15923283446928888
For point: 177, Error: 0.14172527322237763
For point: 179, Error: 0.21044790194882304
For point: 180, Error: 0.10518815698940427
For point: 181, Error: 0.17903267497481207
For point: 182, Error: 0.1365250305580438
For point: 183, Error: 0.17300391312869987
For point: 186, Error: 0.11243363794090933
For point: 187, Error: 0.25832183333540476
For point: 188, Error: 0.13628012413438217
For point: 189, Error: 0.16393427262042595
For point: 191, Error: 0.10329168631802792
For point: 193, Error: 0.2657370649862956
For point: 195, Error: 0.3799776851395422
For point: 196, Error: 0.08597494321826116
For point: 197, Error: 0.11110009299319144
For point: 198, Error: 0.12907194411651376
For point: 199, Error: 0.09748928456756269
For point: 200, Error: 0.47221257607553957
For point: 5, Error: 0.647764909918224
For point: 7, Error: 0.5832071746504564
For point: 8, Error: 1.1993290049564662
For point: 9, Error: 0.4914499469070431
For point: 11, Error: 0.6817046080687913
For point: 13, Error: 0.29030743807408
For point: 14, Error: 0.44430241528718534
For point: 15, Error: 0.4584852657314099
For point: 18, Error: 0.5256631067296317
For point: 19, Error: 0.7277709993616259
For point: 22, Error: 0.5094964612873196
For point: 24, Error: 0.580469907360259
For point: 25, Error: 0.5085128179038175
For point: 26, Error: 0.5918828946075311
For point: 30, Error: 0.4180303919308023
For point: 33, Error: 0.8168512512098217
For point: 35, Error: 0.38557307109496314
For point: 40, Error: 0.02053431099787685
For point: 42, Error: 1.432503914484652
For point: 43, Error: 0.38761079537336673
For point: 44, Error: 0.2505398831735092
For point: 46, Error: 0.09669268950328208
For point: 47, Error: 1.2124809298083479
