For point: 109, Error: 1.755522500944693
For point: 111, Error: 1.3268302499010083
For point: 112, Error: 1.8282627444924264
For point: 115, Error: 0.25419048054746646
For point: 119, Error: 0.9749826531099963
For point: 122, Error: 1.0900141084829356
For point: 125, Error: 0.22857487186264694
For point: 127, Error: 0.6553922537844755
For point: 132, Error: 1.073661647528544
For point: 133, Error: 0.30499097204579095
For point: 134, Error: 0.31179159829198616
For point: 136, Error: 0.2911959945609031
For point: 137, Error: 0.8623658211472615
For point: 138, Error: 0.174875983173997
For point: 139, Error: 0.24337889171148555
For point: 142, Error: 0.14734896505283385
For point: 143, Error: 0.663473759556998
For point: 144, Error: 0.6170905527313156
For point: 145, Error: 0.33445537596743735
For point: 148, Error: 0.616308634222086
For point: 149, Error: 0.43873277682779654
For point: 150, Error: 0.20512982138106492
For point: 152, Error: 0.43785842521475166
For point: 153, Error: 0.11235031900875092
For point: 155, Error: 0.07324617811206627
For point: 156, Error: 0.37736725159400314
For point: 159, Error: 0.07915617218394502
For point: 162, Error: 0.01703279246802204
For point: 165, Error: 0.09191408491962569
For point: 170, Error: 0.2108855783424176
For point: 171, Error: 0.17905066937899192
For point: 174, Error: 0.15893668138644526
For point: 177, Error: 0.14175271010839113
For point: 179, Error: 0.21024156944725217
For point: 180, Error: 0.10485628076688917
For point: 181, Error: 0.17861096064404738
For point: 182, Error: 0.1365640423895347
For point: 183, Error: 0.1726920076996963
For point: 186, Error: 0.11242279766290275
For point: 187, Error: 0.2581566843986669
For point: 188, Error: 0.13585245179996733
For point: 189, Error: 0.16374715225308448
For point: 191, Error: 0.10299040325494385
For point: 193, Error: 0.26542993163001355
For point: 195, Error: 0.3794297029866216
For point: 196, Error: 0.0860599036372522
For point: 197, Error: 0.1111419574810263
For point: 198, Error: 0.1292037853978817
For point: 199, Error: 0.09758769236233167
For point: 200, Error: 0.4716783609176906
For point: 5, Error: 0.6474987529820606
For point: 7, Error: 0.5829565514502278
For point: 8, Error: 1.2004916846810394
For point: 9, Error: 0.49095759437560205
For point: 11, Error: 0.6817834772533918
For point: 13, Error: 0.2899552609976781
For point: 14, Error: 0.44390797302544005
For point: 15, Error: 0.45899122990141156
For point: 18, Error: 0.5258452289423589
For point: 19, Error: 0.7278986491256711
For point: 22, Error: 0.5091635530550168
For point: 24, Error: 0.580596734166224
For point: 25, Error: 0.5084628434730969
For point: 26, Error: 0.5921458104586622
For point: 30, Error: 0.4185504188748879
For point: 33, Error: 0.8169916976467791
For point: 35, Error: 0.3861912712618873
For point: 40, Error: 0.020265784909996868
For point: 42, Error: 1.4340846779519103
For point: 43, Error: 0.38749526797610534
For point: 44, Error: 0.25028661588599865
For point: 46, Error: 0.09655696095552442
For point: 47, Error: 1.2137813322723856
For point: 49, Error: 0.4447218492544409
For point: 51, Error: 0.2834706691917508
For point: 65, Error: 0.28885202234308355
For point: 68, Error: 0.2556897705307352
For point: 69, Error: 0.2576326225834928
For point: 70, Error: 0.6378457894230761
For point: 74, Error: 0.12636246758136957
For point: 76, Error: 0.298942399862608
For point: 79, Error: 0.3148649598135928
For point: 82, Error: 0.20916223627584454
For point: 90, Error: 0.31045978915252054
For point: 93, Error: 0.39065090349643944
For point: 94, Error: 0.15157989867717528
For point: 95, Error: 0.44658527984901836
For point: 101, Error: 0.2763244478292388
For point: 105, Error: 0.5665478939453114
For point: 6, Error: 0.2016979729880785
For point: 10, Error: 0.18675963080650934
For point: 16, Error: 0.1498814484304137
For point: 20, Error: 0.19496789532985656
For point: 29, Error: 0.20467147775934022
For point: 37, Error: 0.14901615735705523
For point: 52, Error: 0.023857844512602377
For point: 53, Error: 0.10056807538624614
For point: 56, Error: 0.0769972056118275
For point: 59, Error: 0.062095602061117035
For point: 63, Error: 0.23749850000335657
For point: 64, Error: 0.17699413162191763
For point: 66, Error: 0.24802984743729334
For point: 67, Error: 0.08383854378262172
For point: 71, Error: 0.10495146019001086
For point: 80, Error: 0.4008350462442936
For point: 86, Error: 0.2419705824732763
For point: 91, Error: 0.3202907145665489
For point: 97, Error: 0.2880566145602428
For point: 98, Error: 0.2596268278093548
For point: 100, Error: 0.31900841192123863
For point: 1, Error: 0.12713418843977892
For point: 4, Error: 0.25369864931628505
For point: 12, Error: 0.06452492283934064
For point: 17, Error: 0.11215650788811636
For point: 21, Error: 0.048171805955558665
For point: 23, Error: 0.08796736015936596
