For point: 2, Error: 0.3204084595686377
For point: 8, Error: 0.32849673968211585
For point: 9, Error: 0.2710465328239149
For point: 10, Error: 0.3620127417693883
For point: 13, Error: 0.33156725537521925
For point: 19, Error: 0.2542299011243874
For point: 22, Error: 0.32393947921722355
For point: 26, Error: 0.2977097935380696
For point: 28, Error: 0.20860875033563037
For point: 30, Error: 0.36499896689634526
For point: 31, Error: 0.32503343149576275
For point: 33, Error: 0.32104015583214573
For point: 35, Error: 0.18138247819104872
For point: 36, Error: 0.2326783238498416
For point: 38, Error: 0.2675618964927335
For point: 39, Error: 0.16578265406713488
For point: 40, Error: 0.16393371589708497
For point: 42, Error: 0.18356836921021205
For point: 43, Error: 0.18298116877101642
For point: 45, Error: 0.1936193745429736
For point: 46, Error: 0.266965214268979
For point: 47, Error: 0.18779035572883124
For point: 51, Error: 0.1706420625943849
For point: 57, Error: 0.2173871383443267
For point: 62, Error: 0.1833095650765285
For point: 63, Error: 0.23748221703935582
For point: 65, Error: 0.2803282422962109
For point: 66, Error: 0.22708671849675324
For point: 68, Error: 0.276123974499007
For point: 70, Error: 0.28018144847889215
For point: 71, Error: 0.23381000931523144
For point: 73, Error: 0.23632259835858863
For point: 75, Error: 0.2775427966076815
For point: 76, Error: 0.3313470005299469
For point: 77, Error: 0.3402533630315575
For point: 80, Error: 0.24313919145899598
For point: 82, Error: 0.3266019087701347
For point: 83, Error: 0.25059076668893027
For point: 87, Error: 0.2778748651456244
For point: 88, Error: 0.3163917937093356
For point: 89, Error: 0.26763821597965387
For point: 92, Error: 0.3874367601451188
For point: 93, Error: 0.353083321820847
For point: 94, Error: 0.2604490902808852
For point: 95, Error: 0.3727725450021898
For point: 96, Error: 0.3006350906901357
For point: 1, Error: 0.22729862659602867
For point: 98, Error: 0.2083106744043819
For point: 102, Error: 0.1353340523794814
For point: 103, Error: 0.12908736153978942
For point: 110, Error: 0.1833054385190264
For point: 112, Error: 0.6154008866831231
For point: 113, Error: 0.2302192269785202
For point: 116, Error: 0.330182883889745
For point: 122, Error: 0.13927477727747323
For point: 123, Error: 0.23589811455468904
For point: 128, Error: 0.07385088382774947
For point: 131, Error: 0.24525491224082352
For point: 134, Error: 0.2613750344769194
For point: 135, Error: 0.1844846627462678
For point: 137, Error: 0.20040360859747045
For point: 138, Error: 0.18418535571552866
For point: 141, Error: 0.11210257686179476
For point: 145, Error: 0.022202646460606483
For point: 147, Error: 0.08451857838371073
For point: 150, Error: 0.10964391708401278
For point: 151, Error: 0.08027648822466445
For point: 154, Error: 0.18225763544730542
For point: 156, Error: 0.12326772179084818
For point: 157, Error: 0.11864839736483308
For point: 158, Error: 0.07889696860680169
For point: 159, Error: 0.1427766584488251
For point: 160, Error: 0.09123636447625787
For point: 162, Error: 0.09188345034709626
For point: 164, Error: 0.11089622808714303
For point: 165, Error: 0.17776860015961488
For point: 166, Error: 0.1566482163439057
For point: 167, Error: 0.11396815978998312
For point: 168, Error: 0.2134855529674678
For point: 171, Error: 0.1964471831404511
For point: 174, Error: 0.11325259767209957
For point: 175, Error: 0.10089822902034537
For point: 180, Error: 0.13281564490540002
For point: 181, Error: 0.26742516910512765
For point: 184, Error: 0.2548849514270995
For point: 186, Error: 0.15122993982122493
For point: 189, Error: 0.2338715116370522
For point: 192, Error: 0.20129727451702653
For point: 195, Error: 0.21187566525929483
For point: 197, Error: 0.21179676345637055
For point: 199, Error: 0.23437756397560958
For point: 3, Error: 0.2922824466960057
For point: 4, Error: 0.28115509207890294
For point: 5, Error: 0.26404815549526234
For point: 6, Error: 0.2693188322605906
For point: 7, Error: 0.38300041286063247
For point: 11, Error: 0.37804571213267696
For point: 15, Error: 0.4165136469508526
For point: 16, Error: 0.37487464006443744
For point: 17, Error: 0.285989728346689
For point: 20, Error: 0.41067409161351964
For point: 21, Error: 0.396442910616334
For point: 23, Error: 0.4027464235469802
For point: 24, Error: 0.3476689223773246
For point: 25, Error: 0.39615645672314803
For point: 97, Error: 0.35871148327824814
For point: 99, Error: 0.3219286637833421
For point: 100, Error: 0.31985858577774445
For point: 101, Error: 0.32101025058802496
For point: 104, Error: 0.31030592320818723
For point: 105, Error: 0.2929761161440073
For point: 106, Error: 0.2792939746554585
For point: 107, Error: 0.3122473009304615
For point: 108, Error: 0.268522980864886
For point: 109, Error: 0.2537415469674027
For point: 111, Error: 0.3545471351761729
For point: 114, Error: 0.38209357716150216
For point: 117, Error: 0.4243571116057117
For point: 118, Error: 0.49032156029016366
For point: 119, Error: 0.4791084431000032
For point: 120, Error: 0.5141651148804742
For point: 124, Error: 0.46347006275184155
For point: 132, Error: 0.640949922137338
For point: 144, Error: 0.5475719330779483
For point: 115, Error: 0.33844231060371976
For point: 121, Error: 0.35725978109017736
For point: 125, Error: 0.2854455250377914
For point: 126, Error: 0.34059348866929023
For point: 127, Error: 0.2619658634318475
For point: 129, Error: 0.28333786533249
For point: 130, Error: 0.19678853343071329
For point: 133, Error: 0.2639403344514998
For point: 136, Error: 0.21757567070115164
For point: 139, Error: 0.30617950967184737
For point: 140, Error: 0.476595635590356
For point: 142, Error: 0.2283636005157013
For point: 143, Error: 0.18649773528288255
For point: 146, Error: 0.28181589989532224
For point: 148, Error: 0.27415642480873026
For point: 149, Error: 0.14221039576599068
For point: 152, Error: 0.12761260012807582
For point: 153, Error: 0.13924925173180233
For point: 155, Error: 0.20992572451034558
For point: 161, Error: 0.18825900358261125
For point: 163, Error: 0.16557143585048886
For point: 169, Error: 0.22580735829757068
For point: 170, Error: 0.1929843073468034
For point: 172, Error: 0.24979330562946747
For point: 173, Error: 0.12491610784745295
For point: 176, Error: 0.41403444426045194
For point: 177, Error: 0.3653761659725349
For point: 178, Error: 0.411384971370925
For point: 179, Error: 0.2419089615739168
For point: 182, Error: 0.18329908445456325
For point: 183, Error: 0.20411620505591824
For point: 185, Error: 0.385570538935594
For point: 187, Error: 0.18437405084865008
For point: 188, Error: 0.18124278171785496
For point: 190, Error: 0.2074739294683832
For point: 191, Error: 0.267219171301101
For point: 193, Error: 0.678851653310649
For point: 194, Error: 0.383097331987513
For point: 196, Error: 0.39831061404781504
For point: 198, Error: 0.36183484102595465
For point: 200, Error: 0.543059334166462
For point: 12, Error: 0.31655988921138767
For point: 14, Error: 0.5714705644654806
For point: 18, Error: 0.2367845205163655
For point: 27, Error: 0.2875293187209401
For point: 29, Error: 0.2503217342237166
For point: 32, Error: 0.3521622543678935
For point: 34, Error: 0.24410900101424213
For point: 37, Error: 0.2817008568950652
For point: 41, Error: 0.2559077147734286
For point: 44, Error: 0.38559732731361684
For point: 48, Error: 0.25877044154281503
For point: 49, Error: 0.2405704971307658
For point: 50, Error: 0.2740203387425516
For point: 52, Error: 0.21959125077700675
For point: 53, Error: 0.247235334303243
For point: 54, Error: 0.2471239914708318
For point: 55, Error: 0.21299020866083143
For point: 56, Error: 0.26015972102529283
For point: 58, Error: 0.2958151967549991
For point: 59, Error: 0.37239108873997945
For point: 60, Error: 0.28783524488141093
