For point: 2, Error: 0.15902104541794346
For point: 6, Error: 0.2185428600541623
For point: 10, Error: 0.01659050799701343
For point: 12, Error: 0.1529713731104444
For point: 15, Error: 0.1509441754402987
For point: 16, Error: 0.07738019357287106
For point: 17, Error: 0.08413056777379717
For point: 20, Error: 0.3412482595523845
For point: 23, Error: 0.22310572471357623
For point: 24, Error: 0.20216273068028137
For point: 25, Error: 0.1754098472932112
For point: 26, Error: 0.12855728880885484
For point: 31, Error: 0.1697399280163875
For point: 33, Error: 0.08756931285873738
For point: 34, Error: 0.18937451132554425
For point: 36, Error: 0.22711093832277096
For point: 38, Error: 0.23306654119566816
For point: 39, Error: 0.10906160849580311
For point: 40, Error: 0.0813402018251899
For point: 42, Error: 0.06392259645668924
For point: 43, Error: 0.37279006505693363
For point: 44, Error: 0.2536615782460791
For point: 47, Error: 0.2805644336259247
For point: 51, Error: 0.2708319811493911
For point: 52, Error: 0.27798794894497025
For point: 54, Error: 0.2456516091042222
For point: 55, Error: 0.2532456677626581
For point: 56, Error: 0.269851242684324
For point: 57, Error: 0.09760564795337762
For point: 58, Error: 0.12315804858115172
For point: 59, Error: 0.07943747790449028
For point: 61, Error: 0.2927489203274287
For point: 63, Error: 0.1617897324542505
For point: 66, Error: 0.3226526417363978
For point: 69, Error: 0.13038774659411073
For point: 70, Error: 0.2865497134026719
For point: 71, Error: 0.2413235032461891
For point: 72, Error: 0.24691926244270906
For point: 73, Error: 0.27375241388968785
For point: 75, Error: 0.28599430549423016
For point: 76, Error: 0.35048337972138444
For point: 78, Error: 0.23457877121978493
For point: 79, Error: 0.19796464221982427
For point: 80, Error: 0.10410370860331826
For point: 82, Error: 0.07965914612483962
For point: 83, Error: 0.15399316521457362
For point: 84, Error: 0.13838393382181147
For point: 85, Error: 0.18954726605339656
For point: 87, Error: 0.18553735925024087
For point: 89, Error: 0.2620719974346869
For point: 90, Error: 0.06093306216295966
For point: 91, Error: 0.15525757436867207
For point: 92, Error: 0.18078209182071034
For point: 94, Error: 0.06347510901544784
For point: 98, Error: 0.10192431419141516
For point: 101, Error: 0.12458183565642428
For point: 114, Error: 0.07286087007334277
For point: 117, Error: 0.04446768107701525
For point: 120, Error: 0.16320981355139008
For point: 123, Error: 0.17497927596383273
For point: 126, Error: 0.05368586363776759
For point: 128, Error: 0.1743429972093014
For point: 131, Error: 0.03694101088104001
For point: 134, Error: 0.04403527218400942
For point: 138, Error: 0.17964436861751468
For point: 139, Error: 0.04302322031678568
For point: 142, Error: 0.10594248808956276
For point: 143, Error: 0.04994580809673882
For point: 146, Error: 0.10497551221410373
For point: 150, Error: 0.0689689158364326
For point: 152, Error: 0.094103437213254
For point: 159, Error: 0.049236326036104505
For point: 165, Error: 0.0439443931882524
For point: 167, Error: 0.03976347391341362
For point: 169, Error: 0.042954741095163444
For point: 171, Error: 0.0305497148793846
For point: 174, Error: 0.21063656609222672
For point: 176, Error: 0.03223548172422301
For point: 178, Error: 0.03906920385566994
For point: 181, Error: 0.07684723492489355
For point: 185, Error: 0.10437780063872971
For point: 186, Error: 0.13250164548893056
For point: 188, Error: 0.09712308504295786
For point: 194, Error: 0.06175478872969481
For point: 196, Error: 0.01433658964882802
For point: 199, Error: 0.02754686253619763
For point: 8, Error: 0.1093872661679578
For point: 9, Error: 0.1403373378909331
For point: 53, Error: 0.2278022738022068
For point: 96, Error: 0.0731338558529328
For point: 99, Error: 0.18316106820130915
For point: 100, Error: 0.27841854342420974
For point: 103, Error: 0.1360242644598792
For point: 104, Error: 0.29764337936109847
For point: 106, Error: 0.07794366915640763
For point: 107, Error: 0.24348252711351703
For point: 108, Error: 0.10144659679043125
For point: 111, Error: 0.05222423484796461
For point: 112, Error: 0.10195312925421172
For point: 113, Error: 0.11262052183018399
For point: 116, Error: 0.08891365140909853
For point: 121, Error: 0.17009278543304868
For point: 122, Error: 0.15544473611656692
For point: 125, Error: 0.6721373227986831
For point: 127, Error: 0.12754829099967102
For point: 129, Error: 0.1896090141887042
For point: 130, Error: 0.08668529199600009
For point: 133, Error: 0.06601390372706954
For point: 137, Error: 0.18304647569131305
For point: 144, Error: 0.1848994101882081
For point: 148, Error: 0.06072995588616798
For point: 149, Error: 0.42449427345452334
For point: 151, Error: 0.15325826368736398
For point: 153, Error: 0.2420189272153147
For point: 155, Error: 0.24853912747820547
For point: 161, Error: 0.25388154106724176
For point: 162, Error: 0.059837659978412866
For point: 163, Error: 0.15176783007097733
For point: 168, Error: 0.013572488582218429
For point: 179, Error: 0.12304904408146387
For point: 180, Error: 0.13621034695732334
For point: 184, Error: 0.05090707566259236
For point: 187, Error: 0.11444417476877893
For point: 192, Error: 0.12563797036357657
For point: 193, Error: 0.15790770227624748
For point: 197, Error: 0.20383425815251624
For point: 200, Error: 0.12447009920600174
For point: 1, Error: 0.17759138820591863
For point: 5, Error: 0.2065544618168931
For point: 7, Error: 0.2706976377323215
For point: 11, Error: 0.05980703122452671
For point: 13, Error: 0.297845126318166
For point: 14, Error: 0.17097078450393188
For point: 18, Error: 0.14234437628520835
For point: 19, Error: 0.05951541327280485
For point: 21, Error: 0.2918034310294726
For point: 22, Error: 0.07514139901803929
For point: 27, Error: 0.1518420752286615
For point: 28, Error: 0.06965060930669538
For point: 29, Error: 0.27969906534606204
For point: 30, Error: 0.1301275730540309
For point: 32, Error: 0.2457929831845131
For point: 35, Error: 0.14765570951825752
For point: 37, Error: 0.13092972731729732
For point: 41, Error: 0.18733703932674917
For point: 45, Error: 0.19962324155570674
For point: 46, Error: 0.20339147046998854
For point: 48, Error: 0.20212330701630413
For point: 49, Error: 0.23381875247474868
For point: 50, Error: 0.09539476197985661
For point: 60, Error: 0.15851289018213535
For point: 62, Error: 0.1545201478527578
For point: 64, Error: 0.17203052036440844
For point: 65, Error: 0.09875671585940246
For point: 67, Error: 0.18462105206901935
For point: 68, Error: 0.0558427270602904
For point: 74, Error: 0.051407942812570905
For point: 77, Error: 0.07988430118148909
For point: 81, Error: 0.06921254325823752
For point: 86, Error: 0.04434637400763528
For point: 88, Error: 0.015228832459074878
For point: 93, Error: 0.05306226204059652
For point: 97, Error: 0.35450743075622154
For point: 3, Error: 0.0550219048439091
For point: 4, Error: 0.08213497503402392
For point: 95, Error: 0.075313112786069
For point: 102, Error: 0.043737768350293936
For point: 105, Error: 0.08505815872749219
For point: 109, Error: 0.051104441843110936
For point: 110, Error: 0.2806794533682995
For point: 115, Error: 0.04981383761955338
For point: 118, Error: 0.05723002708420507
For point: 119, Error: 0.1484258750107163
For point: 124, Error: 0.030762782681305192
For point: 132, Error: 0.24892326818425026
For point: 135, Error: 0.15130218402848997
For point: 136, Error: 0.15361940480232
For point: 140, Error: 0.1737295064202575
For point: 141, Error: 0.11303587618512025
For point: 145, Error: 0.10981463708663969
For point: 147, Error: 0.13114520873174831
For point: 154, Error: 0.07866626065036611
For point: 156, Error: 0.09117933478019807
For point: 157, Error: 0.045175678139892136
For point: 158, Error: 0.05507746298772405
For point: 160, Error: 0.10403407578512848
For point: 164, Error: 0.07565563152734191
For point: 166, Error: 0.04113364644885341
For point: 170, Error: 0.13334125000362693
For point: 172, Error: 0.12541615435252357
For point: 173, Error: 0.09229753146786965
For point: 175, Error: 0.06914545696751238
For point: 177, Error: 0.04134177457222561
For point: 182, Error: 0.043956170420021305
For point: 183, Error: 0.026918518367880766
For point: 189, Error: 0.014617109058167693
