For point: 4, Error: 0.44150606934721326
For point: 7, Error: 0.1953315389062205
For point: 104, Error: 0.18379830420265778
For point: 107, Error: 0.20216651022067028
For point: 112, Error: 0.1302301368637815
For point: 114, Error: 0.29877428011355583
For point: 115, Error: 0.25237568692647705
For point: 118, Error: 0.06726518277278894
For point: 119, Error: 0.09938164673205924
For point: 120, Error: 0.10917386622204224
For point: 123, Error: 0.08973100755466956
For point: 124, Error: 0.19699323878232744
For point: 129, Error: 0.158328052734027
For point: 132, Error: 0.12054160207586392
For point: 134, Error: 0.10726422065992798
For point: 136, Error: 0.13681425463085223
For point: 140, Error: 0.12027741964103093
For point: 141, Error: 0.1462616094150913
For point: 144, Error: 0.16642132755832179
For point: 154, Error: 0.08357486799327489
For point: 160, Error: 0.15592883475423763
For point: 162, Error: 0.2153476530445706
For point: 163, Error: 0.1436559614372707
For point: 167, Error: 0.08098563309866891
For point: 169, Error: 0.13311644856402674
For point: 171, Error: 0.31129425158903684
For point: 174, Error: 0.030602253369759108
For point: 178, Error: 0.20972490187039688
For point: 180, Error: 0.1841915785952982
For point: 181, Error: 0.25264701815488944
For point: 187, Error: 0.0737190595094392
For point: 189, Error: 0.2573720075791167
For point: 192, Error: 0.064640264071495
For point: 194, Error: 0.10959195928038114
For point: 1, Error: 0.10319365184450963
For point: 5, Error: 0.22932610019708305
For point: 6, Error: 0.1373080250964603
For point: 9, Error: 0.2330134521055307
For point: 10, Error: 0.20584622165908806
For point: 58, Error: 0.2682230378593089
For point: 60, Error: 0.2607447882239464
For point: 61, Error: 0.17897221307237146
For point: 65, Error: 0.21019622928491394
For point: 66, Error: 0.14537766267344257
For point: 67, Error: 0.28915290881140954
For point: 105, Error: 0.15142445545692873
For point: 106, Error: 0.0760805313305724
For point: 111, Error: 0.09067480770190384
For point: 113, Error: 0.10501156301233254
For point: 116, Error: 0.47445315727479465
For point: 121, Error: 0.5988149893966661
For point: 128, Error: 0.6372276963847359
For point: 131, Error: 0.8404381743289393
For point: 137, Error: 0.7208079152251523
For point: 138, Error: 0.7430344609852818
For point: 142, Error: 0.08246958531004661
For point: 145, Error: 0.07499917999774329
For point: 146, Error: 0.050740169824548154
For point: 148, Error: 0.058828609399219446
For point: 149, Error: 0.028164599531066932
For point: 151, Error: 0.10025386728426917
For point: 153, Error: 0.1793935141542516
For point: 155, Error: 0.13651351894487565
For point: 158, Error: 0.13987952046500254
For point: 161, Error: 0.3470861235703712
For point: 166, Error: 0.19394076515342212
For point: 170, Error: 0.2697040883996879
For point: 172, Error: 0.29682539086999715
For point: 186, Error: 0.18434658728359304
For point: 188, Error: 0.44179908888705127
For point: 190, Error: 0.40118005727523826
For point: 191, Error: 0.3328924872791698
For point: 193, Error: 0.34746466582060553
For point: 197, Error: 0.4479258605529266
For point: 200, Error: 0.6439995267768794
For point: 12, Error: 0.16326737891183715
For point: 14, Error: 0.10927252847962629
For point: 16, Error: 0.1550124390240565
For point: 17, Error: 0.45358457454688383
For point: 18, Error: 0.11310905296540456
For point: 21, Error: 0.16517735114013746
For point: 22, Error: 0.394806814170902
For point: 23, Error: 0.3640120895820382
For point: 24, Error: 0.11050648008875605
For point: 25, Error: 0.166536920790928
For point: 26, Error: 0.32698310587539015
For point: 27, Error: 0.1768299013347245
For point: 28, Error: 0.1627856075711817
For point: 32, Error: 0.10983087130022041
For point: 36, Error: 0.2587586376215431
For point: 37, Error: 0.21625091088382115
For point: 38, Error: 0.1555771994383504
For point: 40, Error: 0.13624692967690805
For point: 43, Error: 0.16286014569504983
For point: 47, Error: 0.3205944877112355
For point: 48, Error: 0.3311257698294624
For point: 52, Error: 0.12270738046897359
For point: 53, Error: 0.33692677360410855
For point: 54, Error: 0.2412745977111963
For point: 56, Error: 0.1827408426068658
For point: 63, Error: 0.1349024453788334
For point: 64, Error: 0.1973592796460395
For point: 68, Error: 0.12359332496154964
