For point = 1, K =-971.5819991009452, D =-11.333199887568936, intercept: 0.01560559050043242
For point = 2, K =-1807.9738046665207, D =-22.831836935239497, intercept: 0.009263049889889352
For point = 3, K =-1802.094250272191, D =-23.680911900477625, intercept: 0.004494903665773098
For point = 4, K =-971.5819991009452, D =-11.333199887568936, intercept: 0.01560559050043242
For point = 5, K =-1807.9738046665207, D =-22.831836935239497, intercept: 0.009263049889889352
For point = 6, K =-1802.094250272191, D =-23.680911900477625, intercept: 0.004494903665773098
For point = 7, K =-1072.8637606400714, D =-12.985791939950483, intercept: 0.08110932941896842
For point = 8, K =-1713.4997202440575, D =-21.348349751831982, intercept: 0.0026647292087242924
For point = 9, K =-1783.7528769993273, D =-23.383679865299566, intercept: -0.04786202616325852
For point = 10, K =-1691.2852826538833, D =-21.38070933120426, intercept: 0.009688838192692728
For point = 11, K =-1151.886403787585, D =-13.756591313961042, intercept: 0.08867824442505357
For point = 12, K =-1660.2907243278619, D =-21.89128567303806, intercept: 0.0070946660224149305
For point = 13, K =-1796.758485365128, D =-26.17591906749893, intercept: -0.022548633933865858
For point = 14, K =-1326.5670162158563, D =-15.5623200222049, intercept: 0.06212681181608826
For point = 15, K =-1006.1634439551556, D =-11.861484125399773, intercept: 0.07689726944062647
For point = 16, K =-1480.501577136156, D =-17.968563246018157, intercept: 0.02741554562635251
For point = 17, K =-1644.5440610743658, D =-22.40879242412491, intercept: 0.004404890517626381
For point = 18, K =-1405.0151164984932, D =-16.694037960687986, intercept: 0.045415670406679265
For point = 19, K =-1774.8515566491997, D =-26.80409861075476, intercept: -0.013611668429908796
For point = 20, K =-1029.0705537286824, D =-12.02408534188064, intercept: 0.07542542352554404
For point = 21, K =-1378.9344197046662, D =-16.679694610419418, intercept: 0.051694736446451284
For point = 22, K =-1310.468983002032, D =-15.323910820169576, intercept: 0.06015064734939424
For point = 23, K =-1815.4241866724142, D =-29.47759544723836, intercept: -0.07600949044780725
For point = 24, K =-987.6150542469989, D =-11.13052870052292, intercept: 0.0712135886986025
For point = 25, K =-1679.2435550702262, D =-28.459828726373335, intercept: -0.08031869994094931
For point = 26, K =-974.8384584412453, D =-11.002215787250597, intercept: 0.06756053897975178
For point = 27, K =-1710.807900224782, D =-27.96127771088054, intercept: -0.11926842755641553
For point = 28, K =-1685.0487410074795, D =-27.616811721594498, intercept: -0.0987069455598264
For point = 29, K =-1709.7894693758212, D =-28.024248885696778, intercept: -0.09124895680520817
For point = 30, K =-990.1671002735642, D =-11.535608440210272, intercept: 0.07442465250762087
For point = 31, K =-941.5140903779238, D =-10.630939815073319, intercept: 0.025649369529832766
For point = 32, K =-1814.4510622423877, D =-30.79493133506172, intercept: -0.0791970272255651
For point = 33, K =-1402.7708305335295, D =-19.93069200493316, intercept: -0.03814505132368673
For point = 34, K =-946.6463928436724, D =-10.71922996105705, intercept: -0.014111104011370612
For point = 35, K =-1019.695815961144, D =-12.010100863840401, intercept: 0.07830195756166036
For point = 36, K =-1276.0387248112174, D =-16.565820864145056, intercept: 0.02065937469775525
For point = 37, K =-989.4955311669311, D =-11.636801234106738, intercept: 0.077590991469763
For point = 38, K =-1410.5516149419059, D =-20.859326530940095, intercept: -0.039042911549356685
For point = 39, K =-1019.6755234789555, D =-11.975694558090613, intercept: 0.07444739685860724
For point = 40, K =-1793.627302909452, D =-31.769541982211496, intercept: -0.10245359817547506
For point = 41, K =-964.4723032665866, D =-10.666560090931103, intercept: 0.03315402185480609
For point = 42, K =-1012.0210509311589, D =-11.730429488891367, intercept: 0.07895711121128501
For point = 43, K =-1524.6973435895077, D =-24.415337696510008, intercept: -0.10511174994047279
For point = 44, K =-982.8536749196086, D =-11.149168010224592, intercept: 0.07271033766755353
For point = 45, K =-1078.7275977625495, D =-12.829063059981586, intercept: 0.0699437361272417
For point = 46, K =-1646.3095117890784, D =-29.20633182703406, intercept: -0.13461481418977606
For point = 47, K =-1603.6577293499222, D =-27.59410180584156, intercept: -0.13375686264616782
For point = 48, K =-997.1230861912233, D =-11.484477491673827, intercept: 0.07208857056858164
