Point: 1, Avg Error: 0.6644232839041584, std: 0.3294665406946692
Point: 2, Avg Error: 0.5078992295479838, std: 0.32941257348346487
Point: 3, Avg Error: 0.4814969864091214, std: 0.32360137000806444
Point: 4, Avg Error: 0.4977635384006476, std: 0.2728162398042479
Point: 5, Avg Error: 0.3931728593751251, std: 0.29528708093043693
Point: 6, Avg Error: 0.4603155595189601, std: 0.3182438127766289
Point: 7, Avg Error: 0.38061114125142753, std: 0.29077227604437644
Point: 8, Avg Error: 0.4133540128555686, std: 0.20896383595337564
Point: 9, Avg Error: 0.34579855246883917, std: 0.2746988138353921
Point: 10, Avg Error: 0.4392259985510708, std: 0.3101663169562586
Point: 11, Avg Error: 0.31865170465088205, std: 0.16006065275695316
Point: 12, Avg Error: 0.5799558621275694, std: 0.3122881336263684
Point: 13, Avg Error: 0.2947288178896509, std: 0.18503490235944742
Point: 14, Avg Error: 0.33892573440805873, std: 0.26776594656476155
Point: 15, Avg Error: 0.3006671415481137, std: 0.16987650246143424
Point: 16, Avg Error: 0.43498894152719897, std: 0.30954643857657277
Point: 17, Avg Error: 0.5586759067505789, std: 0.30591227817145894
Point: 18, Avg Error: 0.3074609912372649, std: 0.16403481523118518
Point: 19, Avg Error: 0.3261822516370739, std: 0.16156238177489263
Point: 20, Avg Error: 0.39442374608941805, std: 0.2903250338454969
Point: 21, Avg Error: 0.6172798300130955, std: 0.3224502054214075
Point: 22, Avg Error: 0.311885210491176, std: 0.23384740333159937
Point: 23, Avg Error: 0.6367349164436097, std: 0.3260823677903255
Point: 24, Avg Error: 0.321763014036319, std: 0.2487422722048878
Point: 25, Avg Error: 0.3062822669540897, std: 0.22538764912081852
Point: 26, Avg Error: 0.31895448473869814, std: 0.24595546057625017
Point: 27, Avg Error: 0.6088911528015777, std: 0.3213561649103358
Point: 28, Avg Error: 0.6930986534650129, std: 0.33104797392083574
Point: 29, Avg Error: 0.3756714491589877, std: 0.28361188831244316
Point: 30, Avg Error: 0.3279329367764139, std: 0.17169257405625252
Point: 31, Avg Error: 0.7861708500395375, std: 0.3330703937132995
Point: 32, Avg Error: 0.5574982628819357, std: 0.30521119992179563
Point: 33, Avg Error: 0.37079373540538496, std: 0.18448516510642446
Point: 34, Avg Error: 0.6149395547379032, std: 0.32282375918648265
Point: 35, Avg Error: 0.3265406925239775, std: 0.17107297979200636
Point: 36, Avg Error: 0.5541324463447503, std: 0.3039273099776951
Point: 37, Avg Error: 0.3419204136732183, std: 0.25668107414871344
Point: 38, Avg Error: 0.714030272179268, std: 0.3330869325080355
Point: 39, Avg Error: 0.5704708168057763, std: 0.3104653746840688
Point: 40, Avg Error: 0.3155919394041122, std: 0.1728801622306287
Point: 41, Avg Error: 0.6283495241679983, std: 0.3246549325496343
Point: 42, Avg Error: 0.48921766244148457, std: 0.268276362412364
Point: 43, Avg Error: 0.2995783830140288, std: 0.19412091760103947
Point: 44, Avg Error: 0.3018193616691822, std: 0.18296948620227618
Point: 45, Avg Error: 0.6064901571275501, std: 0.32155611976613585
Point: 46, Avg Error: 0.3021394921270543, std: 0.17654308840429922
Point: 47, Avg Error: 0.4616198693878369, std: 0.24753253592853786
Point: 48, Avg Error: 0.596456288306651, std: 0.3187842963131663
Point: 49, Avg Error: 0.3301993239541736, std: 0.17278893260058395
Point: 50, Avg Error: 0.63446060714459, std: 0.32620993982969493
Point: 51, Avg Error: 0.30008784100321184, std: 0.18171559254360664
