Point: 1, Avg Error: 2.109716065792713, std: 1.0373457782768434
Point: 2, Avg Error: 1.1834510103585185, std: 1.019569427672687
Point: 3, Avg Error: 1.1553407218461684, std: 1.015352434566389
Point: 4, Avg Error: 1.76283405001817, std: 0.9241072481018467
Point: 5, Avg Error: 0.9775164024710166, std: 0.9127706368534932
Point: 6, Avg Error: 1.1124827941708761, std: 1.0054945666646435
Point: 7, Avg Error: 0.9076004661276277, std: 0.8967478006139756
Point: 8, Avg Error: 1.5682515434374258, std: 0.7804575842515016
Point: 9, Avg Error: 0.8727883239169202, std: 0.8524671812665925
Point: 10, Avg Error: 1.1645040751889564, std: 1.0165458280030422
Point: 11, Avg Error: 1.1810275127130327, std: 0.46132938674350593
Point: 12, Avg Error: 1.9603325985593698, std: 1.01498302170546
Point: 13, Avg Error: 0.952948972624157, std: 0.49246633647344235
Point: 14, Avg Error: 0.8585341928376045, std: 0.8274223644476069
Point: 15, Avg Error: 1.0406958985271049, std: 0.42587645641513305
Point: 16, Avg Error: 1.1281086947956718, std: 1.003219487262775
Point: 17, Avg Error: 1.9006722276486396, std: 0.9944938216823777
Point: 18, Avg Error: 1.0814700625877374, std: 0.4239972795133184
Point: 19, Avg Error: 1.2111675232281716, std: 0.4811707389881941
Point: 20, Avg Error: 1.2760850660134144, std: 1.0240424604917029
Point: 21, Avg Error: 2.0356111147754365, std: 1.0308431863952447
Point: 22, Avg Error: 0.9140764400237131, std: 0.8957599268294568
Point: 23, Avg Error: 2.080074778809161, std: 1.03601329249282
Point: 24, Avg Error: 0.9719131165141482, std: 0.9371684013015346
Point: 25, Avg Error: 0.9282245055749254, std: 0.9034358171301372
Point: 26, Avg Error: 0.9717404391426362, std: 0.9351456264695253
Point: 27, Avg Error: 2.035274823513018, std: 1.009606836519796
Point: 28, Avg Error: 2.2260322704230466, std: 1.0432521740603993
Point: 29, Avg Error: 1.3162031971656956, std: 1.0212514881128467
Point: 30, Avg Error: 1.0292214386470455, std: 0.4310739214237637
Point: 31, Avg Error: 2.199153049057663, std: 1.0425748155119618
Point: 32, Avg Error: 1.9378916265368917, std: 1.008390088397231
Point: 33, Avg Error: 1.2776877054724494, std: 0.5315395742192511
Point: 34, Avg Error: 2.0296701775023727, std: 1.0296135974174765
Point: 35, Avg Error: 1.0126978356029583, std: 0.4361435310105501
Point: 36, Avg Error: 1.937629237564761, std: 1.0076318239784448
Point: 37, Avg Error: 1.236633823626235, std: 1.006462173563468
Point: 38, Avg Error: 2.119532068257807, std: 1.0393678212013313
Point: 39, Avg Error: 1.9691029702010807, std: 1.0172455779979848
Point: 40, Avg Error: 0.8850386519718003, std: 0.6091262861330919
Point: 41, Avg Error: 2.047110798498807, std: 1.0310097678592576
Point: 42, Avg Error: 1.7649783600451445, std: 0.9236884134995087
Point: 43, Avg Error: 0.902354209785258, std: 0.840859122053791
Point: 44, Avg Error: 0.8654715376948378, std: 0.7689964043685971
Point: 45, Avg Error: 2.0043233566252088, std: 1.0250846722602893
Point: 46, Avg Error: 0.8677790703680064, std: 0.6670948862106876
Point: 47, Avg Error: 1.5712808557559237, std: 0.7694942770664075
Point: 48, Avg Error: 1.9683611425118805, std: 1.0168376301403097
Point: 49, Avg Error: 1.045098908117313, std: 0.42589552268582886
Point: 50, Avg Error: 1.9378357059122318, std: 1.007250286193959
Point: 51, Avg Error: 0.8715779547093176, std: 0.7790293755535731
Point: 52, Avg Error: 1.100090503874643, std: 0.9819811857212921
Point: 53, Avg Error: 1.039168187570381, std: 0.9623703872663545
Point: 54, Avg Error: 1.8971238132186279, std: 0.9929109780548474
Point: 55, Avg Error: 1.9366013045192851, std: 1.0040495598123438
Point: 56, Avg Error: 1.1610743001594441, std: 0.9994694913582685
Point: 57, Avg Error: 1.8647307834364018, std: 0.9787105522417128
Point: 58, Avg Error: 1.8685515880282353, std: 0.9807638014284941
Point: 59, Avg Error: 1.1165776222791883, std: 0.9878944159994625
Point: 60, Avg Error: 1.8133285300117767, std: 0.9527867824440587
Point: 61, Avg Error: 1.8479278637536232, std: 0.9708810797093695
Point: 62, Avg Error: 1.8296720380420834, std: 0.9618049965955284
Point: 63, Avg Error: 0.9506821245575563, std: 0.9078324510766738
Point: 64, Avg Error: 0.9639705251281812, std: 0.9353670701153849
Point: 65, Avg Error: 0.9657665737701946, std: 0.4656612343556815
Point: 66, Avg Error: 0.9272270290869489, std: 0.9032219608521815
Point: 67, Avg Error: 1.1299905433755861, std: 0.9970652517477868
Point: 68, Avg Error: 0.944891286478537, std: 0.48513179444195254
Point: 69, Avg Error: 0.8566519896520675, std: 0.7646690025793232
Point: 70, Avg Error: 1.1528863709369552, std: 0.44921947263150386
Point: 71, Avg Error: 1.0741293370250515, std: 0.9735596952530235
Point: 72, Avg Error: 1.731901251515891, std: 0.8879607380321477
Point: 73, Avg Error: 1.6644601036072624, std: 0.8594551626628057
Point: 74, Avg Error: 0.8775219796190228, std: 0.5951042043043515
Point: 75, Avg Error: 1.7078818603256118, std: 0.8899849980647077
Point: 76, Avg Error: 0.8592467888888541, std: 0.7990902417949386
Point: 77, Avg Error: 1.693614275617296, std: 0.8808114787681705
Point: 78, Avg Error: 1.6667444195038146, std: 0.8615989051343313
Point: 79, Avg Error: 0.8617715824389801, std: 0.7954576670002526
Point: 80, Avg Error: 0.8756415772845181, std: 0.8268671054533275
Point: 81, Avg Error: 1.6392349557364931, std: 0.840205873827368
Point: 82, Avg Error: 0.8438328529514765, std: 0.7217308032359978
Point: 83, Avg Error: 1.5002310428581662, std: 0.7267263899868092
Point: 84, Avg Error: 1.443023633464467, std: 0.6750719714763778
Point: 85, Avg Error: 1.5625236742406745, std: 0.7757312971331953
Point: 86, Avg Error: 0.9731234497035754, std: 0.924053594683842
Point: 87, Avg Error: 1.46217883503417, std: 0.6948323541607984
Point: 88, Avg Error: 1.4368692037998745, std: 0.6736477487637506
Point: 89, Avg Error: 1.4111573801288597, std: 0.6463900633188094
Point: 90, Avg Error: 0.8633427988685131, std: 0.7977524243516009
Point: 91, Avg Error: 0.9232558743342101, std: 0.8830228270845188
Point: 92, Avg Error: 1.4684880352152323, std: 0.700824629281611
Point: 93, Avg Error: 0.8629497699174169, std: 0.8509754799276722
Point: 94, Avg Error: 0.8516258140919186, std: 0.6620170134363443
Point: 95, Avg Error: 1.039837060255609, std: 0.4268414608751684
Point: 96, Avg Error: 1.2942799241859486, std: 0.5437400934907842
Point: 97, Avg Error: 0.9720930299407198, std: 0.9054376409876319
Point: 98, Avg Error: 1.0485125289301847, std: 0.9359972106645837
Point: 99, Avg Error: 1.28717979441587, std: 0.5393077224545864
Point: 100, Avg Error: 0.9447121364328143, std: 0.8880579786094435
Point: 101, Avg Error: 0.9374144955299232, std: 0.4967429224130139
Point: 102, Avg Error: 1.1834604088966083, std: 1.018942512526341
Point: 103, Avg Error: 1.2399304383502536, std: 1.0185605822685793
Point: 104, Avg Error: 1.2054016747845564, std: 1.0189628425860164
Point: 105, Avg Error: 1.1097434943453557, std: 0.4244827830361521
Point: 106, Avg Error: 2.016810705079907, std: 1.0197386347892479
